Value Set Name,Value Set OID,Value Set Version,Code,Definition,Code System,Code System OID,Code System Version
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.002,"[O45.002] Premature separation of placenta with coagulation defect, unspecified, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.003,"[O45.003] Premature separation of placenta with coagulation defect, unspecified, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.009,"[O45.009] Premature separation of placenta with coagulation defect, unspecified, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.011,"[O45.011] Premature separation of placenta with afibrinogenemia, first trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.012,"[O45.012] Premature separation of placenta with afibrinogenemia, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.013,"[O45.013] Premature separation of placenta with afibrinogenemia, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.019,"[O45.019] Premature separation of placenta with afibrinogenemia, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.021,"[O45.021] Premature separation of placenta with disseminated intravascular coagulation, first trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.022,"[O45.022] Premature separation of placenta with disseminated intravascular coagulation, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.023,"[O45.023] Premature separation of placenta with disseminated intravascular coagulation, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.029,"[O45.029] Premature separation of placenta with disseminated intravascular coagulation, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.091,"[O45.091] Premature separation of placenta with other coagulation defect, first trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.092,"[O45.092] Premature separation of placenta with other coagulation defect, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.093,"[O45.093] Premature separation of placenta with other coagulation defect, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.099,"[O45.099] Premature separation of placenta with other coagulation defect, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.8X1,"[O45.8X1] Other premature separation of placenta, first trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.8X2,"[O45.8X2] Other premature separation of placenta, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.8X3,"[O45.8X3] Other premature separation of placenta, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.8X9,"[O45.8X9] Other premature separation of placenta, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.90,"[O45.90] Premature separation of placenta, unspecified, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.91,"[O45.91] Premature separation of placenta, unspecified, first trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.92,"[O45.92] Premature separation of placenta, unspecified, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O45.93,"[O45.93] Premature separation of placenta, unspecified, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.001,"[O46.001] Antepartum hemorrhage with coagulation defect, unspecified, first trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.002,"[O46.002] Antepartum hemorrhage with coagulation defect, unspecified, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.003,"[O46.003] Antepartum hemorrhage with coagulation defect, unspecified, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.009,"[O46.009] Antepartum hemorrhage with coagulation defect, unspecified, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.011,"[O46.011] Antepartum hemorrhage with afibrinogenemia, first trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.012,"[O46.012] Antepartum hemorrhage with afibrinogenemia, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.013,"[O46.013] Antepartum hemorrhage with afibrinogenemia, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.019,"[O46.019] Antepartum hemorrhage with afibrinogenemia, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.021,"[O46.021] Antepartum hemorrhage with disseminated intravascular coagulation, first trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.022,"[O46.022] Antepartum hemorrhage with disseminated intravascular coagulation, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.023,"[O46.023] Antepartum hemorrhage with disseminated intravascular coagulation, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.029,"[O46.029] Antepartum hemorrhage with disseminated intravascular coagulation, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.091,"[O46.091] Antepartum hemorrhage with other coagulation defect, first trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.092,"[O46.092] Antepartum hemorrhage with other coagulation defect, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.093,"[O46.093] Antepartum hemorrhage with other coagulation defect, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.099,"[O46.099] Antepartum hemorrhage with other coagulation defect, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.8X1,"[O46.8X1] Other antepartum hemorrhage, first trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.8X2,"[O46.8X2] Other antepartum hemorrhage, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.8X3,"[O46.8X3] Other antepartum hemorrhage, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.8X9,"[O46.8X9] Other antepartum hemorrhage, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.90,"[O46.90] Antepartum hemorrhage, unspecified, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.91,"[O46.91] Antepartum hemorrhage, unspecified, first trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.92,"[O46.92] Antepartum hemorrhage, unspecified, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O46.93,"[O46.93] Antepartum hemorrhage, unspecified, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O47.00,"[O47.00] False labor before 37 completed weeks of gestation, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O47.02,"[O47.02] False labor before 37 completed weeks of gestation, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O47.03,"[O47.03] False labor before 37 completed weeks of gestation, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O47.1,[O47.1] False labor at or after 37 completed weeks of gestation,ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O47.9,"[O47.9] False labor, unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O48.0,[O48.0] Post-term pregnancy,ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O48.1,[O48.1] Prolonged pregnancy,ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.00,"[O60.00] Preterm labor without delivery, unspecified trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.02,"[O60.02] Preterm labor without delivery, second trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.03,"[O60.03] Preterm labor without delivery, third trimester",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.10X0,"[O60.10X0] Preterm labor with preterm delivery, unspecified trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.10X1,"[O60.10X1] Preterm labor with preterm delivery, unspecified trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.10X2,"[O60.10X2] Preterm labor with preterm delivery, unspecified trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.10X3,"[O60.10X3] Preterm labor with preterm delivery, unspecified trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.10X4,"[O60.10X4] Preterm labor with preterm delivery, unspecified trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.10X5,"[O60.10X5] Preterm labor with preterm delivery, unspecified trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.10X9,"[O60.10X9] Preterm labor with preterm delivery, unspecified trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.12X0,"[O60.12X0] Preterm labor second trimester with preterm delivery second trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.12X1,"[O60.12X1] Preterm labor second trimester with preterm delivery second trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.12X2,"[O60.12X2] Preterm labor second trimester with preterm delivery second trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.12X3,"[O60.12X3] Preterm labor second trimester with preterm delivery second trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.12X4,"[O60.12X4] Preterm labor second trimester with preterm delivery second trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.12X5,"[O60.12X5] Preterm labor second trimester with preterm delivery second trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.12X9,"[O60.12X9] Preterm labor second trimester with preterm delivery second trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.13X0,"[O60.13X0] Preterm labor second trimester with preterm delivery third trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.13X1,"[O60.13X1] Preterm labor second trimester with preterm delivery third trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.13X2,"[O60.13X2] Preterm labor second trimester with preterm delivery third trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.13X3,"[O60.13X3] Preterm labor second trimester with preterm delivery third trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.13X4,"[O60.13X4] Preterm labor second trimester with preterm delivery third trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.13X5,"[O60.13X5] Preterm labor second trimester with preterm delivery third trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.13X9,"[O60.13X9] Preterm labor second trimester with preterm delivery third trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.14X0,"[O60.14X0] Preterm labor third trimester with preterm delivery third trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.14X1,"[O60.14X1] Preterm labor third trimester with preterm delivery third trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.14X2,"[O60.14X2] Preterm labor third trimester with preterm delivery third trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.14X3,"[O60.14X3] Preterm labor third trimester with preterm delivery third trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.14X4,"[O60.14X4] Preterm labor third trimester with preterm delivery third trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.14X5,"[O60.14X5] Preterm labor third trimester with preterm delivery third trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.14X9,"[O60.14X9] Preterm labor third trimester with preterm delivery third trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.20X0,"[O60.20X0] Term delivery with preterm labor, unspecified trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.20X1,"[O60.20X1] Term delivery with preterm labor, unspecified trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.20X2,"[O60.20X2] Term delivery with preterm labor, unspecified trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.20X3,"[O60.20X3] Term delivery with preterm labor, unspecified trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.20X4,"[O60.20X4] Term delivery with preterm labor, unspecified trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.20X5,"[O60.20X5] Term delivery with preterm labor, unspecified trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.20X9,"[O60.20X9] Term delivery with preterm labor, unspecified trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.22X0,"[O60.22X0] Term delivery with preterm labor, second trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.22X1,"[O60.22X1] Term delivery with preterm labor, second trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.22X2,"[O60.22X2] Term delivery with preterm labor, second trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.22X3,"[O60.22X3] Term delivery with preterm labor, second trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.22X4,"[O60.22X4] Term delivery with preterm labor, second trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.22X5,"[O60.22X5] Term delivery with preterm labor, second trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.22X9,"[O60.22X9] Term delivery with preterm labor, second trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.23X0,"[O60.23X0] Term delivery with preterm labor, third trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.23X1,"[O60.23X1] Term delivery with preterm labor, third trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.23X2,"[O60.23X2] Term delivery with preterm labor, third trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.23X3,"[O60.23X3] Term delivery with preterm labor, third trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.23X4,"[O60.23X4] Term delivery with preterm labor, third trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.23X5,"[O60.23X5] Term delivery with preterm labor, third trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O60.23X9,"[O60.23X9] Term delivery with preterm labor, third trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O61.0,[O61.0] Failed medical induction of labor,ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
