Value Set Name,Value Set OID,Code,Definition,Code System,Code System OID
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,447941000124106,Hospital admission of newborn (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,448421000124105,"Hospital admission, transfer from physician office (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,448431000124108,"Hospital admission, transfer from assisted living facility (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,448441000124103,"Hospital admission, transfer from intermediate care facility (procedure)",SNOMED CT US Edition,2.16.840.1.113883.6.96
Acute Inpatient,2.16.840.1.113883.3.464.1004.1810,448851000124103,Hospital admission from observation unit (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.21,[J45.21] Mild intermittent asthma with (acute) exacerbation,ICD10CM,2.16.840.1.113883.6.90
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.22,[J45.22] Mild intermittent asthma with status asthmaticus,ICD10CM,2.16.840.1.113883.6.90
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.31,[J45.31] Mild persistent asthma with (acute) exacerbation,ICD10CM,2.16.840.1.113883.6.90
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.32,[J45.32] Mild persistent asthma with status asthmaticus,ICD10CM,2.16.840.1.113883.6.90
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.41,[J45.41] Moderate persistent asthma with (acute) exacerbation,ICD10CM,2.16.840.1.113883.6.90
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.42,[J45.42] Moderate persistent asthma with status asthmaticus,ICD10CM,2.16.840.1.113883.6.90
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.51,[J45.51] Severe persistent asthma with (acute) exacerbation,ICD10CM,2.16.840.1.113883.6.90
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.52,[J45.52] Severe persistent asthma with status asthmaticus,ICD10CM,2.16.840.1.113883.6.90
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.901,[J45.901] Unspecified asthma with (acute) exacerbation,ICD10CM,2.16.840.1.113883.6.90
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.902,[J45.902] Unspecified asthma with status asthmaticus,ICD10CM,2.16.840.1.113883.6.90
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.990,[J45.990] Exercise induced bronchospasm,ICD10CM,2.16.840.1.113883.6.90
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.991,[J45.991] Cough variant asthma,ICD10CM,2.16.840.1.113883.6.90
Asthma Diagnosis,2.16.840.1.113883.3.464.1004.1358,J45.998,[J45.998] Other asthma,ICD10CM,2.16.840.1.113883.6.90
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,I48.0,[I48.0] Paroxysmal atrial fibrillation,ICD10CM,2.16.840.1.113883.6.90
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,I48.11,[I48.11] Longstanding persistent atrial fibrillation,ICD10CM,2.16.840.1.113883.6.90
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,I48.19,[I48.19] Other persistent atrial fibrillation,ICD10CM,2.16.840.1.113883.6.90
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,I48.20,"[I48.20] Chronic atrial fibrillation, unspecified",ICD10CM,2.16.840.1.113883.6.90
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,I48.21,[I48.21] Permanent atrial fibrillation,ICD10CM,2.16.840.1.113883.6.90
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,I48.91,[I48.91] Unspecified atrial fibrillation,ICD10CM,2.16.840.1.113883.6.90
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,49436004,Atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,195080001,Atrial fibrillation and flutter (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,233910005,Lone atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,233911009,Non-rheumatic atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,282825002,Paroxysmal atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,300996004,Controlled atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,314208002,Rapid atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,426749004,Chronic atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,426814001,Transient cerebral ischemia due to atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,440028005,Permanent atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,440059007,Persistent atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,706923002,Longstanding persistent atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,715395008,Familial atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,762247006,Preexcited atrial fibrillation (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,1010405004,Paroxysmal atrial fibrillation with rapid ventricular response (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,120041000119109,Atrial fibrillation with rapid ventricular response (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,280797561000119107,Permanent atrial fibrillation due to heart valve disorder (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,313377641000119105,Atrial fibrillation due to heart valve disorder (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,467643831000119105,Paroxysmal atrial fibrillation due to heart valve disorder (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
Atrial Fibrillation,2.16.840.1.113883.3.464.1004.1430,489609371000119104,Persistent atrial fibrillation due to heart valve disorder (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,98000,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,98001,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,98002,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,98003,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,98004,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,98005,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,98006,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,98007,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,98960,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,98961,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,98962,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99078,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99202,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99203,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99204,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99205,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99211,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99212,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99213,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99214,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99215,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99242,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99243,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99244,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99245,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99341,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99342,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99344,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99345,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99347,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99348,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99349,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99350,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99381,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99382,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99383,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99384,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99385,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99386,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99387,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99391,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99392,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99393,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99394,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99395,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99396,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99397,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99401,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99402,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99403,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99404,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99411,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99412,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99483,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99492,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99493,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99494,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,99510,,CPT,2.16.840.1.113883.6.12
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,G0155,"Services of clinical social worker in home health or hospice settings, each 15 minutes (G0155)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,G0176,"Activity therapy, such as music, dance, art or play therapies not for recreation, related to the care and treatment of patient's disabling mental health problems, per session (45 minutes or more) (G0176)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,G0177,Training and educational services related to the care and treatment of patient's disabling mental health problems per session (45 minutes or more) (G0177),HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,G0409,"Social work and psychological services, directly relating to and/or furthering the patient's rehabilitation goals, each 15 minutes, face-to-face; individual (services provided by a corf-qualified social worker or psychologist in a corf) (G0409)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,G0463,Hospital outpatient clinic visit for assessment and management of a patient (G0463),HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,G0512,"Rural health clinic or federally qualified health center (rhc/fqhc) only, psychiatric collaborative care model (psychiatric cocm), 60 minutes or more of clinical staff time for psychiatric cocm services directed by an rhc or fqhc practitioner (physician, np, pa, or cnm) and including services furnished by a behavioral health care manager and consultation with a psychiatric consultant, per calendar month (G0512)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,G0560,"Safety planning interventions, each 20 minutes personally performed by the billing practitioner, including assisting the patient in the identification of the following personalized elements of a safety plan: recognizing warning signs of an impending suicidal or substance use-related crisis; employing internal coping strategies; utilizing social contacts and social settings as a means of distraction from suicidal thoughts or risky substance use; utilizing family members, significant others, caregivers, and/or friends to help resolve the crisis; contacting mental health or substance use disorder professionals or agencies; and making the environment safe (G0560)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H0002,Behavioral health screening to determine eligibility for admission to treatment program (H0002),HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H0004,"Behavioral health counseling and therapy, per 15 minutes (H0004)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H0031,"Mental health assessment, by non-physician (H0031)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H0034,"Medication training and support, per 15 minutes (H0034)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H0036,"Community psychiatric supportive treatment, face-to-face, per 15 minutes (H0036)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H0037,"Community psychiatric supportive treatment program, per diem (H0037)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H0039,"Assertive community treatment, face-to-face, per 15 minutes (H0039)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H0040,"Assertive community treatment program, per diem (H0040)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H2000,Comprehensive multidisciplinary evaluation (H2000),HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H2010,"Comprehensive medication services, per 15 minutes (H2010)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H2011,"Crisis intervention service, per 15 minutes (H2011)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H2013,"Psychiatric health facility service, per diem (H2013)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H2014,"Skills training and development, per 15 minutes (H2014)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H2015,"Comprehensive community support services, per 15 minutes (H2015)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H2016,"Comprehensive community support services, per diem (H2016)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H2017,"Psychosocial rehabilitation services, per 15 minutes (H2017)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H2018,"Psychosocial rehabilitation services, per diem (H2018)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H2019,"Therapeutic behavioral services, per 15 minutes (H2019)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,H2020,"Therapeutic behavioral services, per diem (H2020)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,T1015,"Clinic visit/encounter, all-inclusive (T1015)",HCPCS,2.16.840.1.113883.6.285
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,50357006,Evaluation and management of patient at home (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,77406008,Confirmatory medical consultation (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,84251009,Comprehensive consultation (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,86013001,Periodic reevaluation and management of healthy individual (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
BH Outpatient,2.16.840.1.113883.3.464.1004.1481,90526000,Initial evaluation and management of healthy individual (procedure),SNOMED CT US Edition,2.16.840.1.113883.6.96
